benchmark,instance,result,time,comment
Benchmarks/Basic/Dynamics: Nonlinear differential cut,Scripted proof,proved,1355,timeout=60000 | QE=459 | RCF=0 | proof_steps=959 | tactic_size=2
Benchmarks/Basic/Affine: Overdamped Door Closing Mechanism,Scripted proof,proved,9149,timeout=60000 | QE=1885 | RCF=0 | proof_steps=4812 | tactic_size=16
Benchmarks/Basic/STTT Tutorial: Example 1,Scripted proof,proved,680,timeout=60000 | QE=237 | RCF=0 | proof_steps=220 | tactic_size=2
Benchmarks/Basic/STTT Tutorial: Example 2,Scripted proof,proved,323,timeout=60000 | QE=0 | RCF=0 | proof_steps=182 | tactic_size=11
Benchmarks/Basic/STTT Tutorial: Example 3a,Scripted proof,proved,4619,timeout=60000 | QE=2327 | RCF=0 | proof_steps=5825 | tactic_size=8
Benchmarks/Basic/STTT Tutorial: Example 4a,Scripted proof,proved,297,timeout=60000 | QE=0 | RCF=0 | proof_steps=143 | tactic_size=11
Benchmarks/Basic/STTT Tutorial: Example 4b,Scripted proof,proved,271,timeout=60000 | QE=0 | RCF=0 | proof_steps=143 | tactic_size=11
Benchmarks/Basic/STTT Tutorial: Example 4c,Scripted proof,proved,893,timeout=60000 | QE=305 | RCF=0 | proof_steps=656 | tactic_size=20
Benchmarks/Basic/STTT Tutorial: Example 5,Scripted proof,proved,3095,timeout=60000 | QE=1968 | RCF=0 | proof_steps=4038 | tactic_size=21
Benchmarks/Basic/STTT Tutorial: Example 6,Scripted proof,proved,9148,timeout=60000 | QE=2450 | RCF=0 | proof_steps=4008 | tactic_size=19
Benchmarks/Basic/STTT Tutorial: Example 7,Scripted proof,proved,3555,timeout=60000 | QE=2430 | RCF=0 | proof_steps=4161 | tactic_size=18
Benchmarks/Basic/STTT Tutorial: Example 9a,Scripted proof,proved,1049,timeout=60000 | QE=478 | RCF=0 | proof_steps=590 | tactic_size=2
Benchmarks/Basic/STTT Tutorial: Example 9b,Scripted proof,proved,2342,timeout=60000 | QE=1806 | RCF=0 | proof_steps=2180 | tactic_size=15
Benchmarks/Basic/STTT Tutorial: Example 10,Scripted proof,proved,12230,timeout=60000 | QE=9305 | RCF=0 | proof_steps=12838 | tactic_size=74
Benchmarks/Basic/LICS: Example 1 Continuous car accelerates forward,Scripted proof,proved,224,timeout=60000 | QE=0 | RCF=0 | proof_steps=77 | tactic_size=5
Benchmarks/Basic/LICS: Example 2 Single car drives forward,Scripted proof,proved,267,timeout=60000 | QE=0 | RCF=0 | proof_steps=148 | tactic_size=11
Benchmarks/Basic/LICS: Example 3a event-triggered car drives forward,Scripted proof,proved,309,timeout=60000 | QE=0 | RCF=0 | proof_steps=148 | tactic_size=11
Benchmarks/Basic/LICS: Example 4a safe stopping of time-triggered car,Scripted proof,proved,2816,timeout=60000 | QE=1866 | RCF=0 | proof_steps=3473 | tactic_size=11
Benchmarks/Basic/LICS: Example 4b progress of time-triggered car,user,failed,-1,timeout=60000 | QE=-1 | RCF=-1 | proof_steps=-1 | tactic_size=-1
Benchmarks/Basic/LICS: Example 4c relative safety of time-triggered car,Scripted proof,proved,3329,timeout=60000 | QE=2063 | RCF=0 | proof_steps=5076 | tactic_size=13
Benchmarks/Basic/LICS: Example 5 Controllability Equivalence,Scripted proof,proved,2711,timeout=60000 | QE=1683 | RCF=0 | proof_steps=3138 | tactic_size=7
Benchmarks/Basic/LICS: Example 6 MPC Acceleration Equivalence,Scripted proof,proved,9391,timeout=60000 | QE=2609 | RCF=0 | proof_steps=9594 | tactic_size=26
Benchmarks/Basic/LICS: Example 7 Model-Predictive Control Design Car,Scripted proof,proved,2406,timeout=60000 | QE=1460 | RCF=0 | proof_steps=1891 | tactic_size=43
